Linux 4.14.35-1844.1.3.el7uek.x86_64 (instance-20190207-1400) 	02/07/2019 	_x86_64_	(104 CPU)

02/07/2019 07:46:39 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.21    0.00    2.00    3.40    0.00   94.39

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sdaa              1.00    28.00  373.00  339.00 96256.00 92672.00   530.70   142.90  200.92   70.11  344.84   1.40 100.00
sdab              4.00    22.00  281.00  276.00 72960.00 75008.00   531.30   141.63  260.85   94.00  430.72   1.80 100.00
sdac              2.00    12.00  287.00  281.00 73984.00 74496.00   522.82   141.80  227.14   76.77  380.73   1.76 100.00
sdad              0.00    17.00  236.00  224.00 60416.00 60672.00   526.47   143.37  300.38  105.16  506.05   2.17 100.00
sdae              5.00    15.00  364.00  382.00 94720.00 101888.00   527.10   142.43  192.46   68.14  310.91   1.34 100.00
sdaf              3.00    39.00  502.00  475.00 129280.00 129536.00   529.82   142.24  147.55   52.43  248.07   1.02 100.00
sdag              6.00    33.00  463.00  451.00 120576.00 123648.00   534.41   141.26  159.29   49.77  271.72   1.09 100.00

02/07/2019 07:46:45 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.64    0.00    2.29   26.06    0.00   71.00

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sda               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdb               8.00    18.00  317.00  256.00 82688.00 67600.00   524.57   140.91  251.67   81.04  462.95   1.75 100.00
sdc               7.00    25.00  282.00  281.00 73984.00 76048.00   532.97   133.78  224.39   91.02  358.24   1.78 100.00
sdd               4.00     9.00  312.00  266.00 80640.00 70416.00   522.69   120.32  204.01   86.84  341.44   1.73 100.00
